epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1992.03,1.11056,0.76175,1.02545,0.87475,0.91979,0.92596,0.61719,1.1843,0.74544,1.12269,0.000410448,0.000410448,0.000410448
2,4003.2,1.17494,0.81103,1.04689,0.85676,0.84523,0.90587,0.5917,1.22724,0.83658,1.15571,0.000816197,0.000816197,0.000816197
3,5926.21,1.2106,0.85863,1.06623,0.78385,0.87006,0.88755,0.53063,1.23804,0.87977,1.17491,0.00121095,0.00121095,0.00121095
4,7998.97,1.23082,0.88187,1.08071,0.81291,0.85472,0.88351,0.53722,1.28466,0.868,1.16995,0.0012005,0.0012005,0.0012005
5,10013.1,1.24355,0.89126,1.07887,0.75996,0.84163,0.85077,0.53972,1.32316,0.93517,1.2127,0.001184,0.001184,0.001184
6,12119.8,1.21663,0.87127,1.07533,0.81218,0.84318,0.87752,0.53939,1.29694,0.89963,1.21112,0.0011675,0.0011675,0.0011675
7,14164.3,1.23396,0.88344,1.08501,0.80599,0.8692,0.8987,0.56516,1.25077,0.84394,1.18971,0.001151,0.001151,0.001151
8,16275.2,1.213,0.86161,1.06968,0.83256,0.84597,0.88206,0.54514,1.24088,0.92434,1.15277,0.0011345,0.0011345,0.0011345
9,18313.9,1.20218,0.84864,1.06481,0.74693,0.82112,0.81258,0.48314,1.28074,1.02652,1.15635,0.001118,0.001118,0.001118
10,20372.9,1.20157,0.82971,1.06346,0.79737,0.895,0.87054,0.57088,1.24493,0.9234,1.17737,0.0011015,0.0011015,0.0011015
11,22457.7,1.19335,0.8338,1.0531,0.77793,0.91509,0.85715,0.56255,1.20579,0.90866,1.14077,0.001085,0.001085,0.001085
12,24560.7,1.20022,0.82581,1.06153,0.82883,0.84363,0.88077,0.55154,1.23415,0.85187,1.14765,0.0010685,0.0010685,0.0010685
13,26705.9,1.19335,0.81768,1.05606,0.83239,0.87392,0.88565,0.57896,1.2407,0.8591,1.13916,0.001052,0.001052,0.001052
14,28833.4,1.18147,0.80381,1.05056,0.79336,0.89034,0.88423,0.52516,1.31171,0.85449,1.1883,0.0010355,0.0010355,0.0010355
15,31190,1.18215,0.79806,1.04993,0.86085,0.91026,0.92433,0.56969,1.3185,0.7974,1.16941,0.001019,0.001019,0.001019
16,33390.5,1.17246,0.78819,1.04757,0.80292,0.95333,0.9287,0.60689,1.19952,0.75805,1.13901,0.0010025,0.0010025,0.0010025
17,35532.6,1.1513,0.77232,1.0446,0.8732,0.88761,0.89038,0.58403,1.21363,0.79883,1.12571,0.000986,0.000986,0.000986
18,37763.6,1.15443,0.75955,1.03962,0.83712,0.90599,0.9122,0.58997,1.23015,0.77708,1.1477,0.0009695,0.0009695,0.0009695
19,39929,1.14695,0.75777,1.03622,0.84152,0.91215,0.8982,0.58445,1.2169,0.77948,1.12872,0.000953,0.000953,0.000953
20,42121.8,1.13631,0.74902,1.03137,0.88972,0.9069,0.92435,0.64293,1.16354,0.71517,1.10919,0.0009365,0.0009365,0.0009365
21,44480.6,1.13445,0.74398,1.03459,0.85324,0.91241,0.89633,0.60544,1.24873,0.83357,1.1432,0.00092,0.00092,0.00092
22,46685.5,1.13707,0.75574,1.0287,0.82145,0.9292,0.89794,0.59587,1.21472,0.7722,1.13062,0.0009035,0.0009035,0.0009035
23,48809.2,1.13706,0.7418,1.04056,0.90284,0.92015,0.92142,0.60565,1.1708,0.72718,1.11374,0.000887,0.000887,0.000887
24,50989,1.13335,0.72081,1.03073,0.89271,0.89657,0.93906,0.62438,1.15974,0.71631,1.12879,0.0008705,0.0008705,0.0008705
25,53213.7,1.12372,0.73585,1.03288,0.90217,0.90921,0.94236,0.61708,1.18392,0.67949,1.12339,0.000854,0.000854,0.000854
26,55498.6,1.11862,0.71633,1.02906,0.87894,0.92442,0.91273,0.61688,1.17727,0.72731,1.12689,0.0008375,0.0008375,0.0008375
27,57763.4,1.10368,0.7243,1.02425,0.85637,0.89399,0.91274,0.59995,1.21716,0.77254,1.1426,0.000821,0.000821,0.000821
28,60190,1.11817,0.72584,1.02598,0.85319,0.94156,0.93668,0.62034,1.17694,0.68764,1.12937,0.0008045,0.0008045,0.0008045
29,62257.6,1.10338,0.715,1.01959,0.85568,0.94451,0.94172,0.62334,1.21117,0.69313,1.13947,0.000788,0.000788,0.000788
30,64196.3,1.1054,0.72213,1.02226,0.80342,0.97047,0.92973,0.6237,1.17784,0.6954,1.13029,0.0007715,0.0007715,0.0007715
31,66145.4,1.09594,0.71043,1.02034,0.8343,0.91642,0.91593,0.59367,1.24947,0.73461,1.12556,0.000755,0.000755,0.000755
32,68010.8,1.09263,0.69678,1.01489,0.88201,0.93246,0.94077,0.6268,1.21079,0.70436,1.14298,0.0007385,0.0007385,0.0007385
33,69854.2,1.09895,0.70497,1.019,0.8851,0.87798,0.92417,0.60963,1.21264,0.6967,1.12335,0.000722,0.000722,0.000722
34,71840.3,1.08813,0.7075,1.01751,0.90419,0.89732,0.93519,0.61481,1.18134,0.70053,1.11755,0.0007055,0.0007055,0.0007055
35,73890.6,1.0901,0.69774,1.0062,0.88309,0.90333,0.89943,0.58388,1.2522,0.73213,1.15567,0.000689,0.000689,0.000689
36,75893,1.07261,0.69092,1.0077,0.89074,0.92098,0.90811,0.61924,1.17995,0.73165,1.14116,0.0006725,0.0006725,0.0006725
37,77811.1,1.07475,0.68748,1.01124,0.87681,0.90863,0.93819,0.62953,1.17704,0.6873,1.11325,0.000656,0.000656,0.000656
38,79801.5,1.05913,0.6793,1.00249,0.8814,0.90039,0.93831,0.6226,1.17984,0.66732,1.13742,0.0006395,0.0006395,0.0006395
39,81834.3,1.05348,0.67524,0.99828,0.8651,0.91911,0.91979,0.61126,1.23245,0.7179,1.14946,0.000623,0.000623,0.000623
40,83778.1,1.06384,0.67746,1.01583,0.88134,0.9205,0.93815,0.62917,1.23722,0.67572,1.14371,0.0006065,0.0006065,0.0006065
41,85766,1.06221,0.67829,1.01003,0.86836,0.92098,0.90681,0.60073,1.18942,0.73103,1.11271,0.00059,0.00059,0.00059
42,87793.3,1.04584,0.66464,0.99734,0.84189,0.93274,0.92348,0.59603,1.25075,0.7303,1.15446,0.0005735,0.0005735,0.0005735
43,89851.2,1.03745,0.6534,1.00086,0.87087,0.94819,0.94343,0.6317,1.17723,0.6574,1.11989,0.000557,0.000557,0.000557
44,91777.8,1.03881,0.65697,1.0024,0.88738,0.90207,0.91108,0.62462,1.19327,0.70803,1.11726,0.0005405,0.0005405,0.0005405
45,93705.4,1.0314,0.65753,0.99871,0.85749,0.88481,0.91474,0.61108,1.2042,0.70179,1.13036,0.000524,0.000524,0.000524
46,95614.8,1.03215,0.65973,0.99422,0.84937,0.93274,0.93911,0.63655,1.2014,0.67244,1.13131,0.0005075,0.0005075,0.0005075
