epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.31,2.7093,4.14844,1.93622,0.009,0.70929,0.21693,0.10203,1.8373,3.97009,1.30799,0.000275,0.000275,0.000275
2,1291.58,1.87968,2.99633,1.38338,0.83989,0.13786,0.20229,0.08638,1.88319,4.05014,1.3886,0.000551362,0.000551362,0.000551362
3,1925.91,1.73016,2.51799,1.31434,0.49121,0.36923,0.55271,0.26004,1.51444,2.77078,1.23767,0.00081634,0.00081634,0.00081634
4,2624.45,1.66081,2.16255,1.26644,0.55947,0.51539,0.61428,0.30485,1.71126,3.01279,1.29273,0.00106993,0.00106993,0.00106993
5,3291.48,1.62517,2.02097,1.26301,0.53965,0.70627,0.68389,0.37381,1.59271,2.13143,1.22554,0.001151,0.001151,0.001151
6,3989.61,1.5359,1.88473,1.21696,0.60615,0.7303,0.69399,0.36134,1.45991,2.03284,1.20829,0.00112625,0.00112625,0.00112625
7,4627.93,1.48818,1.69079,1.17746,0.59754,0.81886,0.78162,0.39035,1.35557,1.6561,1.14806,0.0011015,0.0011015,0.0011015
8,5261.33,1.47354,1.66881,1.19226,0.70011,0.85745,0.82613,0.43876,1.50098,1.61999,1.12895,0.00107675,0.00107675,0.00107675
9,5978.62,1.47576,1.58011,1.18982,0.68352,0.76992,0.772,0.42652,1.36396,1.55936,1.11371,0.001052,0.001052,0.001052
10,6677.88,1.4387,1.51189,1.17856,0.62846,0.66892,0.67177,0.36167,1.3323,1.51393,1.13163,0.00102725,0.00102725,0.00102725
11,7328.97,1.40803,1.4525,1.14855,0.7263,0.82921,0.84724,0.47321,1.29047,1.32839,1.12086,0.0010025,0.0010025,0.0010025
12,7998.43,1.39578,1.41374,1.14326,0.72254,0.87416,0.83363,0.47164,1.16397,1.49395,1.10656,0.00097775,0.00097775,0.00097775
13,8654.63,1.34414,1.3548,1.13318,0.70964,0.90801,0.82511,0.45627,1.24448,1.27149,1.13104,0.000953,0.000953,0.000953
14,9342.72,1.34794,1.30751,1.12638,0.80793,0.85559,0.87794,0.51106,1.44014,1.28924,1.08975,0.00092825,0.00092825,0.00092825
15,10091.2,1.33652,1.31629,1.11933,0.71297,0.85281,0.83334,0.495,1.22044,1.4022,1.12318,0.0009035,0.0009035,0.0009035
16,10767.4,1.35127,1.26009,1.11361,0.84891,0.83864,0.88968,0.51327,1.1107,1.09325,1.10979,0.00087875,0.00087875,0.00087875
17,11486.4,1.32825,1.24199,1.10773,0.82277,0.9035,0.87481,0.54961,1.09792,1.08313,1.10502,0.000854,0.000854,0.000854
18,12137.1,1.28729,1.21086,1.10432,0.83637,0.87863,0.89725,0.56591,1.17705,1.0694,1.0468,0.00082925,0.00082925,0.00082925
19,12796.5,1.25744,1.1523,1.08552,0.79317,0.90576,0.87082,0.5261,1.15101,1.10791,1.06593,0.0008045,0.0008045,0.0008045
20,13516.3,1.31849,1.18616,1.10053,0.83172,0.79295,0.91047,0.55424,1.27379,1.09103,1.07758,0.00077975,0.00077975,0.00077975
21,14161.3,1.28809,1.13415,1.08995,0.8494,0.90579,0.92543,0.56326,1.3233,1.08089,1.08094,0.000755,0.000755,0.000755
22,14865.5,1.27459,1.11935,1.09008,0.90583,0.91728,0.95734,0.60874,1.19994,1.01313,1.05213,0.00073025,0.00073025,0.00073025
23,15523.2,1.25614,1.09914,1.07321,0.89516,0.90699,0.94337,0.60894,1.21798,0.98187,1.05702,0.0007055,0.0007055,0.0007055
24,16176.3,1.24908,1.07832,1.075,0.8743,0.94167,0.94249,0.61512,1.24159,0.94764,1.04134,0.00068075,0.00068075,0.00068075
25,16858,1.23156,1.06538,1.07408,0.87299,0.86995,0.94057,0.60413,1.25087,1.00181,1.0689,0.000656,0.000656,0.000656
26,17592.4,1.1975,1.02091,1.06263,0.85625,0.94114,0.93954,0.60555,1.19073,0.89602,1.04944,0.00063125,0.00063125,0.00063125
27,18272.1,1.24545,1.03881,1.07591,0.8045,0.95803,0.92654,0.58962,1.0993,0.94585,1.05248,0.0006065,0.0006065,0.0006065
28,18971.6,1.21552,1.02145,1.0522,0.85452,0.95508,0.92837,0.57361,1.15646,0.85317,1.06141,0.00058175,0.00058175,0.00058175
29,19621.8,1.21108,1.01089,1.05705,0.873,0.93333,0.92892,0.59143,1.11863,0.88605,1.03256,0.000557,0.000557,0.000557
30,20334,1.23146,0.99634,1.06612,0.89008,0.94349,0.92912,0.58291,1.25594,0.92654,1.01386,0.00053225,0.00053225,0.00053225
31,21114,1.20206,0.96752,1.04982,0.90499,0.95148,0.94936,0.59753,1.14653,0.87778,1.07053,0.0005075,0.0005075,0.0005075
