epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.878,2.61583,3.90403,1.84268,0.82328,0.06593,0.16515,0.05909,1.70045,3.64294,1.35983,0.000405093,0.000405093,0.000405093
2,565.228,1.76975,2.6213,1.3372,0.49326,0.52005,0.58639,0.30189,1.55034,2.49063,1.36064,0.000810912,0.000810912,0.000810912
3,843.908,1.63683,2.10375,1.28059,0.55362,0.60493,0.52213,0.26733,1.69422,2.19276,1.3576,0.00120573,0.00120573,0.00120573
4,1143.97,1.57606,1.89165,1.23371,0.67386,0.73719,0.75795,0.40316,1.52139,1.93947,1.34213,0.0012005,0.0012005,0.0012005
5,1439.78,1.52751,1.74829,1.21628,0.63967,0.74777,0.79527,0.40326,1.5332,1.65597,1.29218,0.001184,0.001184,0.001184
6,1769.72,1.47179,1.62418,1.21794,0.56433,0.68834,0.69928,0.36243,1.43953,1.62158,1.26678,0.0011675,0.0011675,0.0011675
7,2114.04,1.46526,1.56062,1.19057,0.74601,0.79203,0.79863,0.43571,1.45557,1.4671,1.272,0.001151,0.001151,0.001151
8,2468.12,1.43342,1.43696,1.17141,0.72694,0.91027,0.81401,0.45027,1.43993,1.39599,1.24749,0.0011345,0.0011345,0.0011345
9,2794.25,1.41348,1.43022,1.15807,0.62099,0.80665,0.71318,0.41298,1.38164,1.4895,1.22954,0.001118,0.001118,0.001118
10,3087.41,1.38502,1.3608,1.14545,0.68832,0.83342,0.78827,0.4414,1.36458,1.29994,1.21597,0.0011015,0.0011015,0.0011015
11,3368.29,1.35993,1.2965,1.13153,0.78745,0.82443,0.86254,0.52253,1.31464,1.20145,1.20575,0.001085,0.001085,0.001085
12,3713.4,1.3801,1.26528,1.13821,0.63015,0.89469,0.7645,0.41833,1.45109,1.31629,1.32302,0.0010685,0.0010685,0.0010685
13,4038.12,1.35591,1.2437,1.13823,0.73208,0.9163,0.83687,0.49348,1.32751,1.14071,1.22004,0.001052,0.001052,0.001052
14,4319.68,1.33424,1.19271,1.12845,0.69972,0.85374,0.79533,0.49039,1.2169,1.17676,1.18275,0.0010355,0.0010355,0.0010355
15,4628.45,1.32614,1.17814,1.11843,0.67803,0.89215,0.79769,0.46844,1.33029,1.10968,1.22984,0.001019,0.001019,0.001019
16,4928.62,1.29087,1.14145,1.10359,0.8101,0.94633,0.89327,0.55514,1.267,1.01818,1.21649,0.0010025,0.0010025,0.0010025
17,5266.94,1.30913,1.11998,1.1014,0.70909,0.8499,0.83861,0.50035,1.31375,1.07266,1.23396,0.000986,0.000986,0.000986
18,5583.79,1.30234,1.12765,1.09915,0.80538,0.89307,0.89913,0.56436,1.26523,0.99244,1.1931,0.0009695,0.0009695,0.0009695
19,5875.96,1.27218,1.09231,1.09253,0.81159,0.85039,0.88203,0.56095,1.22317,0.9835,1.14302,0.000953,0.000953,0.000953
20,6168.78,1.27598,1.06346,1.08968,0.74972,0.9298,0.89048,0.57144,1.23124,0.98013,1.16144,0.0009365,0.0009365,0.0009365
21,6465.79,1.24746,1.03015,1.07706,0.70909,0.90921,0.88395,0.54151,1.28463,0.98495,1.16924,0.00092,0.00092,0.00092
22,6780.75,1.28474,1.05488,1.0806,0.72144,0.92098,0.88856,0.55229,1.21173,0.92681,1.15806,0.0009035,0.0009035,0.0009035
23,7113.61,1.23005,1.02648,1.07405,0.7695,0.85301,0.87868,0.53624,1.24683,1.01234,1.15783,0.000887,0.000887,0.000887
24,7579.39,1.23633,1.00932,1.07028,0.62744,0.89451,0.83148,0.52335,1.20248,1.05117,1.1558,0.0008705,0.0008705,0.0008705
25,7876.7,1.25006,1.00814,1.07912,0.80828,0.88932,0.92383,0.59361,1.20937,0.90073,1.148,0.000854,0.000854,0.000854
26,8191.74,1.21667,0.97861,1.06826,0.79027,0.8798,0.87103,0.54716,1.22123,0.9086,1.13002,0.0008375,0.0008375,0.0008375
27,8479.31,1.23578,0.97038,1.07035,0.85385,0.89701,0.9274,0.58327,1.21011,0.83571,1.13367,0.000821,0.000821,0.000821
28,8794.59,1.23611,0.9795,1.07088,0.75933,0.91509,0.9024,0.54679,1.30936,0.89756,1.14785,0.0008045,0.0008045,0.0008045
29,9114.86,1.2148,0.92636,1.06703,0.82995,0.86945,0.91893,0.57767,1.26901,0.8854,1.13624,0.000788,0.000788,0.000788
30,9448.34,1.18573,0.91696,1.05683,0.82091,0.91927,0.89608,0.6076,1.19069,0.88752,1.13438,0.0007715,0.0007715,0.0007715
