epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.587,2.61583,3.90403,1.84268,0.82328,0.06593,0.16515,0.05909,1.70045,3.64294,1.35983,0.000405093,0.000405093,0.000405093
2,1098.06,1.77414,2.65242,1.32921,0.50054,0.18872,0.516,0.26815,1.60743,2.93983,1.3647,0.000550579,0.000550579,0.000550579
3,1463.62,1.57395,2.11052,1.23763,0.68454,0.65255,0.77728,0.39302,1.49009,2.15739,1.27527,0.000421065,0.000421065,0.000421065
