epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,991.329,1.63235,1.83633,1.30436,0.78095,0.85246,0.87266,0.51646,1.26837,1.35086,1.10522,0.000275,0.000275,0.000275
2,1872.85,1.56004,1.79972,1.26121,0.68108,0.88168,0.83332,0.49792,1.3986,1.53062,1.14964,0.000551362,0.000551362,0.000551362
3,2666.27,1.55795,1.81668,1.25978,0.58925,0.77617,0.77982,0.43126,1.56501,1.57456,1.20251,0.00081634,0.00081634,0.00081634
4,3484.71,1.49689,1.69097,1.21766,0.66329,0.80001,0.79094,0.47511,1.40027,1.78412,1.20016,0.00106993,0.00106993,0.00106993
5,4279.8,1.52543,1.64021,1.23374,0.72606,0.77421,0.81811,0.44685,1.49689,1.65539,1.21836,0.001151,0.001151,0.001151
6,5107,1.4939,1.58681,1.20661,0.70475,0.76472,0.75133,0.45126,1.50361,1.82528,1.14136,0.00112625,0.00112625,0.00112625
7,6019.75,1.45181,1.50104,1.18763,0.80927,0.86681,0.91152,0.50149,1.38002,1.42061,1.14858,0.0011015,0.0011015,0.0011015
8,6809.57,1.45352,1.42861,1.2022,0.76938,0.83302,0.86881,0.51837,1.32789,1.36967,1.14159,0.00107675,0.00107675,0.00107675
9,7313.51,1.41326,1.42424,1.1715,0.80499,0.7757,0.85943,0.53429,1.20467,1.19197,1.09063,0.001052,0.001052,0.001052
10,7867.57,1.38922,1.36592,1.16792,0.78247,0.89152,0.91736,0.53766,1.216,1.20819,1.08696,0.00102725,0.00102725,0.00102725
11,8591.84,1.35367,1.31977,1.13304,0.80974,0.83437,0.9074,0.51481,1.22869,1.1559,1.10916,0.0010025,0.0010025,0.0010025
12,9219.99,1.36467,1.26656,1.13796,0.80004,0.85578,0.87579,0.52124,1.30205,1.17032,1.12652,0.00097775,0.00097775,0.00097775
13,9882.8,1.34509,1.24076,1.1302,0.86731,0.89745,0.91846,0.5771,1.1932,1.02882,1.08753,0.000953,0.000953,0.000953
14,10507.3,1.33634,1.19785,1.11256,0.87141,0.83779,0.91495,0.54279,1.32328,1.02779,1.11706,0.00092825,0.00092825,0.00092825
15,11144.5,1.33341,1.20775,1.11757,0.79308,0.86925,0.88008,0.52692,1.13214,1.2471,1.03484,0.0009035,0.0009035,0.0009035
16,11816,1.3307,1.16884,1.11483,0.81454,0.92147,0.92362,0.55361,1.11572,1.03382,1.07597,0.00087875,0.00087875,0.00087875
17,12443.9,1.28005,1.13496,1.10224,0.80864,0.92518,0.95045,0.57836,1.21097,1.01424,1.04974,0.000854,0.000854,0.000854
18,13088.6,1.26907,1.11433,1.10774,0.86586,0.91699,0.93452,0.56903,1.25909,1.12183,1.05261,0.00082925,0.00082925,0.00082925
19,13776.1,1.24348,1.06134,1.08376,0.84907,0.94205,0.95228,0.60088,1.17026,0.93803,1.06466,0.0008045,0.0008045,0.0008045
20,14408.5,1.27233,1.07485,1.09428,0.87215,0.93898,0.96043,0.6186,1.15026,0.87081,1.03868,0.00077975,0.00077975,0.00077975
21,15044.4,1.2521,1.05261,1.08818,0.79343,0.94424,0.95209,0.61301,1.21308,1.00202,1.02033,0.000755,0.000755,0.000755
22,15721.2,1.26136,1.05216,1.09463,0.87329,0.92179,0.93946,0.603,1.31527,0.97567,1.06247,0.00073025,0.00073025,0.00073025
23,16381,1.23446,1.02285,1.06411,0.86059,0.9351,0.94375,0.5948,1.17594,0.86573,1.0411,0.0007055,0.0007055,0.0007055
24,17086.5,1.2419,1.02921,1.0757,0.88517,0.87913,0.9364,0.61219,1.16994,0.87208,1.03095,0.00068075,0.00068075,0.00068075
25,17757.5,1.21237,1.02051,1.0713,0.83871,0.94088,0.95173,0.64771,1.1568,0.8602,1.05528,0.000656,0.000656,0.000656
