epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3573.4,1.14925,1.09437,1.04354,0.89149,0.9646,0.95162,0.57238,1.27355,1.2228,1.15253,0.000742625,0.000742625,0.000742625
43,3654.14,1.10786,1.09497,1.03347,0.8824,0.95487,0.96589,0.58599,1.29053,1.22554,1.13636,0.00073025,0.00073025,0.00073025
44,3777.31,1.17186,1.01518,1.00686,0.8471,0.92952,0.95431,0.57258,1.27947,1.26775,1.12561,0.000717875,0.000717875,0.000717875
45,3864.65,1.12371,1.10844,1.02221,0.84354,0.9448,0.96054,0.5779,1.24876,1.29873,1.12235,0.0007055,0.0007055,0.0007055
46,3955.35,1.11002,1.05969,1.01952,0.86335,0.9608,0.97162,0.56577,1.27026,1.24883,1.12596,0.000693125,0.000693125,0.000693125
47,4037.96,1.12074,1.00355,1.00662,0.90494,0.91885,0.9755,0.5738,1.28878,1.1909,1.13392,0.00068075,0.00068075,0.00068075
48,4130.59,1.09432,1.06416,1.01448,0.88065,0.93565,0.94972,0.58309,1.26457,1.14006,1.13292,0.000668375,0.000668375,0.000668375
49,4231.55,1.06492,0.99309,1.01694,0.80942,0.97157,0.92757,0.57853,1.24431,1.18021,1.11506,0.000656,0.000656,0.000656
50,4300.76,1.07807,1.00782,1.00339,0.80712,0.98032,0.94295,0.5546,1.27407,1.2298,1.11413,0.000643625,0.000643625,0.000643625
51,4428.98,1.0936,1.01057,1.00181,0.80588,0.97931,0.94967,0.57601,1.24313,1.20164,1.11547,0.00063125,0.00063125,0.00063125
52,4539.93,1.06652,1.0485,0.99799,0.87692,0.98163,0.9634,0.60249,1.18187,1.11412,1.10791,0.000618875,0.000618875,0.000618875
53,4604,1.04875,1.02111,1.00922,0.9212,0.97702,0.97573,0.63115,1.16364,1.08532,1.1038,0.0006065,0.0006065,0.0006065
54,4683.67,1.01769,0.99976,0.99132,0.88665,0.9865,0.97219,0.63375,1.17214,1.06192,1.10734,0.000594125,0.000594125,0.000594125
55,4763.49,1.07729,1.00529,1.00184,0.91342,0.98479,0.97636,0.63928,1.20849,1.0601,1.11579,0.00058175,0.00058175,0.00058175
56,4833.83,1.05183,0.95703,0.99837,0.94631,0.99394,0.97803,0.62318,1.22124,1.03977,1.11915,0.000569375,0.000569375,0.000569375
57,4932.85,1.06525,0.95211,0.99563,0.95477,0.99336,0.98088,0.63555,1.19569,0.99622,1.11137,0.000557,0.000557,0.000557
58,5010.86,1.0475,0.98679,1.00476,0.94758,0.98144,0.9824,0.64584,1.17125,0.97571,1.10447,0.000544625,0.000544625,0.000544625
59,5099.47,1.03233,0.93512,0.98391,0.92553,0.98463,0.97805,0.62499,1.17134,1.01478,1.09876,0.00053225,0.00053225,0.00053225
60,5173.72,1.05021,0.93929,0.98729,0.90818,0.98999,0.96624,0.60836,1.19822,1.05176,1.10803,0.000519875,0.000519875,0.000519875
61,5264.08,1.04743,0.92864,0.99691,0.8983,0.99368,0.96982,0.61295,1.20483,1.02879,1.10629,0.0005075,0.0005075,0.0005075
62,5346.4,1.06351,0.98074,1.00023,0.93151,0.95817,0.97005,0.62322,1.18071,1.00099,1.09337,0.000495125,0.000495125,0.000495125
63,5437.08,1.0755,0.9368,0.98273,0.85553,0.98375,0.95736,0.62596,1.17673,1.01197,1.08459,0.00048275,0.00048275,0.00048275
64,5530.46,1.01667,0.93622,0.96809,0.86952,0.96893,0.95164,0.63051,1.1776,1.01197,1.07873,0.000470375,0.000470375,0.000470375
65,5619.59,1.07584,0.96877,0.98918,0.87866,0.97297,0.951,0.63461,1.16688,1.01389,1.07996,0.000458,0.000458,0.000458
66,5703.22,0.99302,0.94696,0.97824,0.90322,0.95157,0.95874,0.64484,1.16044,0.98372,1.08971,0.000445625,0.000445625,0.000445625
67,5805.58,0.99593,0.94396,0.96561,0.91611,0.97695,0.97405,0.653,1.13473,0.95511,1.08628,0.00043325,0.00043325,0.00043325
68,5913.55,1.00846,0.96,0.97918,0.91841,0.96492,0.98275,0.64761,1.14246,0.95907,1.07953,0.000420875,0.000420875,0.000420875
69,6017.05,1.02718,0.90347,0.98561,0.88842,0.96195,0.98093,0.66147,1.14364,0.95455,1.07572,0.0004085,0.0004085,0.0004085
70,6114.92,1.03178,0.88903,0.97243,0.89902,0.93761,0.98076,0.66417,1.15974,0.95625,1.08454,0.000396125,0.000396125,0.000396125
71,6206.44,0.9985,0.86809,0.96957,0.88535,0.94246,0.97744,0.67002,1.15576,0.97269,1.09684,0.00038375,0.00038375,0.00038375
72,6286.35,1.00216,0.90753,0.96584,0.86139,0.96145,0.9716,0.64964,1.16893,0.9929,1.11212,0.000371375,0.000371375,0.000371375
73,6366.68,1.02167,0.8707,0.989,0.86023,0.95955,0.97248,0.64708,1.19435,1.03205,1.12089,0.000359,0.000359,0.000359
74,6445.25,0.98337,0.87141,0.96785,0.89778,0.98493,0.97693,0.63962,1.21038,1.03951,1.11861,0.000346625,0.000346625,0.000346625
75,6536.14,1.0173,0.92519,0.99195,0.88393,0.98867,0.97539,0.62429,1.21414,1.02089,1.11115,0.00033425,0.00033425,0.00033425
76,6619.25,0.99888,0.90634,0.97425,0.89437,0.98,0.98401,0.65058,1.18734,0.98394,1.10256,0.000321875,0.000321875,0.000321875
77,6696.7,0.94782,0.8392,0.97057,0.90223,0.98681,0.96866,0.66682,1.14621,0.93817,1.09327,0.0003095,0.0003095,0.0003095
78,6780.79,0.93468,0.86603,0.98224,0.90838,1,0.97186,0.65788,1.12775,0.91566,1.09172,0.000297125,0.000297125,0.000297125
79,6870.2,0.98556,0.87877,0.96471,0.92023,1,0.97636,0.65761,1.11521,0.90363,1.0907,0.00028475,0.00028475,0.00028475
80,6982.83,0.96167,0.83002,0.94781,0.91299,0.9996,0.97957,0.65832,1.11995,0.89139,1.09438,0.000272375,0.000272375,0.000272375
81,7075.05,0.94153,0.85532,0.97437,0.9237,1,0.98357,0.6591,1.12967,0.89397,1.09092,0.00026,0.00026,0.00026
82,7171.9,0.95555,0.8248,0.9658,0.94149,1,0.98472,0.6583,1.14058,0.90153,1.08455,0.000247625,0.000247625,0.000247625
83,7270.72,0.92012,0.81598,0.95615,0.94526,0.99902,0.995,0.65886,1.14597,0.90364,1.08382,0.00023525,0.00023525,0.00023525
84,7380.87,0.99437,0.81845,0.95647,0.97387,1,0.995,0.6569,1.13466,0.91193,1.08074,0.000222875,0.000222875,0.000222875
85,7475.73,0.91093,0.85652,0.97054,0.97756,0.96287,0.99167,0.66654,1.10764,0.91375,1.07925,0.0002105,0.0002105,0.0002105
86,7559.28,0.94376,0.83551,0.95067,0.94667,0.96875,0.99093,0.66764,1.09401,0.90874,1.07637,0.000198125,0.000198125,0.000198125
87,7643.45,0.94326,0.84674,0.95639,0.93955,1,0.98935,0.66911,1.09567,0.90915,1.07549,0.00018575,0.00018575,0.00018575
88,7723.43,0.94642,0.83031,0.96421,0.94244,1,0.98935,0.65879,1.10174,0.91577,1.0754,0.000173375,0.000173375,0.000173375
89,7822.48,0.91693,0.82189,0.96369,0.93938,1,0.98894,0.63859,1.1079,0.91753,1.07506,0.000161,0.000161,0.000161
90,7914.38,0.94876,0.82303,0.96407,0.95077,0.99239,0.99462,0.65067,1.12105,0.91351,1.079,0.000148625,0.000148625,0.000148625
91,8012.79,0.92781,0.95753,0.97778,0.94167,0.99616,0.99462,0.65008,1.12534,0.92137,1.082,0.00013625,0.00013625,0.00013625
92,8079.91,0.93474,0.99747,0.99843,0.93554,0.99562,0.99423,0.64803,1.12844,0.92992,1.08897,0.000123875,0.000123875,0.000123875
93,8174.92,0.95179,0.9364,0.96286,0.9197,1,0.99147,0.64995,1.12364,0.94223,1.09286,0.0001115,0.0001115,0.0001115
94,8254.21,0.91404,0.93699,0.9792,0.91817,1,0.99147,0.66529,1.12007,0.95913,1.09351,9.9125e-05,9.9125e-05,9.9125e-05
95,8340.52,0.90354,0.93111,0.94594,0.9157,1,0.99147,0.66867,1.11713,0.96697,1.0895,8.675e-05,8.675e-05,8.675e-05
96,8433.44,0.88918,0.9077,0.93554,0.89819,1,0.98409,0.65757,1.11926,0.96489,1.08634,7.4375e-05,7.4375e-05,7.4375e-05
97,8497.58,0.88572,0.92512,0.93678,0.91524,0.99617,0.98407,0.6451,1.12438,0.95489,1.08395,6.2e-05,6.2e-05,6.2e-05
98,8589.66,0.92631,0.93751,0.95966,0.89469,0.99,0.98816,0.65622,1.12946,0.94636,1.08269,4.9625e-05,4.9625e-05,4.9625e-05
99,8674.89,0.9015,0.91747,0.97404,0.89115,0.99543,0.98701,0.64816,1.13262,0.93428,1.08221,3.725e-05,3.725e-05,3.725e-05
100,8749.48,0.86984,0.90763,0.94215,0.89147,0.99525,0.98701,0.65037,1.13012,0.92433,1.08253,2.4875e-05,2.4875e-05,2.4875e-05
